DISTRICT,PK,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated
South,243,0,41.1,2.919091505,0,0.230002393,482,0.2014205,0,45,0.637693961,35.7,3.14332682,15.5,0,98.5,6.57940392,0
West,242,0.554002705,98,2.733510574,0.185551543,2.453237695,664,1.00773554,1.289662094,65.8,1.524000561,229,0.664451738,7.148289082,0,69.1,56.5,0.229619057
Kishanganj,210,0,0,0,0,0,0.223250723,0.617658629,14.7,12.4,0,10.8,0,1400,4.976145388,492,0,0
Uttar Dinajpur,330,0,0,0,0,0,2.766016747,0.004317747,1.03193152,76,1.757101625,0.249065833,0.179170708,2390,17.2,733,0,0
Purnia,211,0,0,0,0,0,0,0,10.4,1.344611174,0,7.624804946,0,2880,28.6,314,0,0.28625992
Katihar,212,46.9,0,0.233905927,0,0,0,4.705725183,44.6,0.647863356,0,55.7,2.150227146,2790,12.7,74.8,0.188937002,24.5
Araria,209,0,0,0,0,0,0.241136335,0,0.42008034,0.242114102,0,0,0,2560,10.8,238,0,0
Madhubani,207,0,0,0,0,0,0,0.222856958,4.885190893,0,0,2.281200412,0,3260,42.6,132,0,0
Sitamarhi,206,0,0,0,0,0,0,0,0,0,0,0.409771198,0,2290,18.9,19.1,0,0
Darbhanga,215,0,0,0,0,0,0,0,0,0,0,0.223508789,0.810866336,2120,39.2,129,0,0
Sheohar,205,0,0,0,0,0,0,0,0,0,0,0,0,287,1.211924893,0.418875223,0,0
Vaishali,220,2.756852132,0,0,0,0,0.17951894,0.772131088,36.6,0.224429253,0,25.9,0.878915555,1890,22.8,6.536023985,0.233445936,18.4
Samastipur,221,2.010162616,0,0.224704434,0,0,0.368565214,0,16.7,0.030456394,0,16,0.9461097,2810,17,24.1,0,9.208051655
Begusarai,222,2.651826346,0,0,0,0,0,4.254156879,59.4,0.188777156,0,50.7,0,1710,58,23.1,0.451141752,31.3
Khagaria,223,2.792868777,0,0,0,0,0,2.703792137,6.023114894,0.189076916,0,4.411812951,0.429472855,1420,16.6,32.9,0,1.602158282
Saharsa,214,0,0,0,0,0,0,0.233206563,21.1,0,0,15.9,0.187989142,1360,9.927879929,277,0,0.233046147
Supaul,208,0,0,0,0,0,0,4.640917962,104,2.445945751,0,96,0.660417018,2070,3.722730194,103,0,11.2
Madhepura,213,0,0,0,0,0,0,0.233677234,2.135748783,0,0,1.071267144,0,1300,5.047816402,523,0,0
Bhagalpur,224,15.3,0,0,0,0,0,10.9,83.2,2.753646021,0,58.3,0.367035525,2170,85.3,83.9,0,27.9
Sahibganj,352,33.9,0,0,0,30.7,140,2.148259101,15.9,289,0.42394494,22,7.187803066,1280,9.115466835,348,0,14
Godda,351,0,0,0,0,47.1,69.7,1.074373346,1.561719179,252,0.226161099,0.642205568,0.451399619,1630,7.616143207,230,0,0
Banka,225,0.415487275,0,0,0,2.962714461,4.903843879,2.412989472,62.6,47.5,0,38.7,0,2580,42.8,321,0,0.88545593
Pakur,353,0,0,0,0,14.9,30.6,0.416604379,0.642942113,268,0.235076287,1.113523381,0,1270,3.447864052,223,0,0
Dumka,362,19.9,0,0,0,18.9,142,4.151247034,3.670322645,226,0.236068318,3.568328266,0.699637565,2860,6.58602099,481,0,1.489846382
Jamtara,363,10.3,0,0.262201185,0,0.182057861,1.092078842,4.437843693,20.7,301,0,13.7,0.001284979,923,6.527796145,519,0,0.496362598
Deoghar,350,0,0,0,0,0.190253416,1.721402866,1.331519771,21.5,29.7,0,16.8,0,2170,17.1,174,0,0
Jamui,238,0,0,0.460937089,0,73.4,97,3.427214444,68.3,294,0.460405819,45.2,0,2000,38.6,430,0,0.460944904
Giridih,349,0,0,2.929034352,0,50.3,93,12.2,67.9,473,1.54931594,46.7,0,3620,12.6,626,0,0
Munger,226,5.630785346,0,0,0,36.5,75.6,3.5149905,49.3,123,0.234494504,45.2,0.490117143,955,54.1,57.4,0,24.4
Lakhisarai,227,0.468088598,0,0,0,9.459876616,39.8,0.459126203,3.34848658,51.7,0,3.554588886,0,1090,25.8,38.3,0,3.678856626
Sheikhpura,228,0,0,0,0,0,0,0,0,0,0,0,0,625,13.7,0,0,0
Nawada,237,0.235391178,0,0,0,81.3,84.3,2.372046832,1.315850164,293,0.226337671,3.752799049,2.100128898,1830,29.8,157,0,0
Nalanda,229,0,0,0,0,0.408402646,2.356899317,0,0.449909941,3.359996181,0,0.23456516,0,2270,52.7,0,0,0
Kodarma,348,0.667604758,0,0,0,252,145,5.913539451,49,795,0.837929883,42.4,1.535039374,1090,5.92715461,124,0,0.408010214
